AltAGL,AltB,AltGPS,AltMSL,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
26.00000,821.20000,777.30000,865.10000,1066.84000,1046.19000,1067.60000,1045.46000,1.85000,58.39000,79.87000,981.10000,24.00000,24.00000,0.00000,0.00000,-0.02000,0.01000,18.80000,1.89000,0.14000,0.00000,4.87000,0.00000,0.00000,0.00000
26.00000,821.20000,777.40000,865.20000,1066.50000,1046.50000,1066.94000,1045.81000,1.85000,58.48000,79.92000,983.60000,24.00000,24.00000,0.00000,0.00000,0.01000,0.01000,18.80000,1.91000,0.15000,0.00000,0.20000,0.00000,0.00000,0.00000
26.00000,820.20000,777.20000,865.00000,1065.38000,1046.72000,1066.17000,1046.72000,1.86000,58.49000,79.92000,978.60000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.03000,18.80000,1.85000,0.15000,0.00000,-13.82000,0.00000,0.00000,0.00000
25.00000,820.20000,776.50000,864.30000,1067.20000,1046.73000,1066.00000,1047.33000,1.86000,58.41000,79.97000,977.60000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.03000,18.80000,1.86000,0.18000,0.00000,-15.93000,3.90000,0.00000,0.00000
26.00000,820.20000,777.20000,865.00000,1067.87000,1046.66000,1066.80000,1048.37000,1.86000,58.42000,80.00000,979.50000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.03000,18.80000,1.83000,0.18000,0.00000,-16.00000,0.00000,0.00000,0.00000
26.00000,820.20000,777.40000,865.20000,1065.61000,1048.04000,1065.71000,1048.77000,1.87000,58.43000,80.01000,982.60000,24.00000,24.00000,0.00000,0.00000,0.01000,0.02000,18.80000,1.85000,0.18000,0.00000,-16.00000,0.00000,0.00000,0.00000
26.00000,821.20000,777.40000,865.30000,1063.18000,1049.86000,1064.21000,1050.83000,1.87000,58.48000,80.05000,981.40000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.01000,18.80000,1.86000,0.19000,0.00000,8.33000,0.00000,0.00000,0.00000
26.00000,821.20000,777.50000,865.30000,1064.23000,1049.70000,1064.25000,1051.04000,1.86000,58.53000,80.07000,982.50000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.01000,18.80000,1.86000,0.18000,0.00000,5.78000,0.00000,0.00000,0.00000
27.00000,820.20000,778.30000,866.10000,1065.77000,1048.15000,1064.14000,1050.07000,1.86000,58.43000,80.08000,978.80000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.01000,18.80000,1.86000,0.18000,0.00000,-11.12000,0.00000,0.00000,0.00000
28.00000,820.20000,779.40000,867.20000,1067.02000,1048.36000,1065.29000,1050.61000,1.85000,58.33000,80.13000,976.60000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.04000,18.80000,1.88000,0.19000,0.00000,-30.77000,0.00000,0.00000,0.00000
