#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,BaroA,COM1,COM2,CRS,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NAV1,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,mt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,MHz,G,deg C,deg,deg,kt,gals,deg,volts,mt,fpm,fpm,deg,kt,deg,nm
3.0,822.6,751.5,839.3,0.0,6.0,30.04,120.55,124.575,266.0,1115.01,1091.38,1113.95,1109.09,2.39,56.01,139.73,1123.1,21.54,18.78,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.02,47.9479523,-97.1724472,3.1,109.1,-0.0,28.5,3.33,1.02,0.0,40.32,266.8,28.0,18.0,-5.54,0.0,NaN,NaN,NaN,NaN
3.0,822.6,752.2,840.0,0.5,6.0,30.04,120.55,124.575,266.0,1119.3,1092.4,1116.59,1108.69,2.41,56.03,139.69,1122.0,21.57,18.74,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.02,47.9479523,-97.1724548,3.1,109.1,0.02,28.5,3.32,1.02,0.0,40.31,266.8,28.0,18.0,-0.84,0.0,NaN,NaN,NaN,NaN
3.0,822.6,752.0,839.8,0.1999999999999318,6.0,30.04,120.55,124.575,266.0,1112.62,1092.22,1116.29,1106.69,2.39,56.12,139.64,1124.1,21.58,18.71,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.0,47.9479561,-97.1724472,3.1,109.1,0.08,28.5,3.34,1.02,0.0,40.29,266.8,28.0,18.0,-14.25,0.0,NaN,NaN,NaN,NaN
3.0,822.6,752.0,839.8,0.1999999999999318,5.9,30.04,120.55,124.575,266.0,1111.23,1092.46,1114.57,1105.3,2.4,56.05,139.66,1125.7,21.59,18.7,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,0.03,28.5,3.32,1.01,0.0,40.29,266.8,28.0,18.0,-1.11,0.0,NaN,NaN,NaN,NaN
3.0,822.6,752.0,839.8,0.2999999999999545,6.0,30.04,120.55,124.575,266.0,1109.79,1091.92,1117.05,1104.91,2.41,56.2,139.66,1125.3,21.6,18.74,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,-0.03,28.5,3.28,1.01,0.0,40.34,266.8,28.0,18.0,2.03,0.0,NaN,NaN,NaN,NaN
3.0,822.6,752.1,839.9,1.0,5.9,30.04,120.55,124.575,266.0,1110.62,1092.4,1116.42,1105.02,2.37,56.04,139.6,1119.7,21.6,18.72,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.02,47.9479561,-97.1724472,3.1,109.1,0.02,28.5,3.32,1.03,0.0,40.32,266.8,28.0,18.0,-14.33,0.0,NaN,NaN,NaN,NaN
3.0,822.6,751.8,839.6,0.6000000000000227,5.9,30.04,120.55,124.575,266.0,1110.53,1091.64,1116.61,1104.16,2.35,55.9,139.62,1116.5,21.55,18.71,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,0.02,28.5,3.31,1.03,0.0,40.260000000000005,266.8,28.0,18.0,-15.95,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.0,838.8,-0.20000000000004547,6.1,30.04,120.55,124.575,266.0,1110.69,1091.55,1116.97,1105.86,2.37,56.03,139.64,1119.3,21.57,18.72,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,0.01,28.5,3.3,1.03,0.0,40.29,266.8,28.0,18.0,-15.52,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.2,839.0,0.0,5.9,30.04,120.55,124.575,266.0,1111.58,1093.04,1116.16,1107.27,2.39,56.02,139.59,1120.9,21.59,18.71,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.02,47.9479561,-97.1724472,3.1,109.1,-0.01,28.5,3.32,1.04,0.0,40.3,266.8,28.0,18.0,-15.98,0.0,NaN,NaN,NaN,NaN
2.0,821.6,751.2,839.0,0.0,5.9,30.04,120.55,124.575,266.0,1111.15,1094.6,1114.2,1104.7,2.37,56.05,139.57,1125.8,21.6,18.74,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,-0.01,28.5,3.32,1.04,0.0,40.34,266.8,28.0,18.0,-16.0,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.2,839.0,-0.2999999999999545,6.0,30.04,120.55,124.575,266.0,1109.31,1094.9,1112.68,1104.73,2.39,56.21,139.58,1127.7,21.6,18.72,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,0.01,28.5,3.31,1.04,0.0,40.32,266.8,28.0,18.0,3.78,0.0,NaN,NaN,NaN,NaN
