AltAGL,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,volt1,volt2,VSpd,VSpdG
#ft agl,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,psi,deg F,rpm,gals,gals,kt,kt,G,G,deg C,deg,deg,kt,volts,volts,fpm,fpm
1.0,154.3,143.55,159.17,149.79,1055.46,1052.24,1048.0,1035.61,57.25,95.39,979.3,21.62,21.08,0.0,0.0,-0.01,-0.01,16.8,2.11,0.46,0.0,28.0,28.1,-9.96,0.0
1.0,155.04,144.24,159.83,150.46,1055.53,1052.04,1048.59,1035.61,57.26,95.37,983.3,21.62,21.05,0.0,0.0,0.0,0.01,16.8,2.13,0.47,0.0,28.0,28.0,-15.76,0.0
3.0,155.7,144.92,160.55,151.22,1057.26,1052.2,1048.28,1035.63,57.22,95.35,980.7,21.62,21.05,0.0,0.0,-0.01,-0.01,16.8,2.13,0.43,0.0,28.0,28.0,-14.0,3.9
3.0,156.39,145.57,161.23,151.95,1057.85,1052.46,1047.1,1036.33,57.21,95.33,979.4,21.62,21.05,0.0,0.0,-0.01,-0.01,16.8,2.14,0.45,0.0,28.0,28.0,-14.72,3.9
3.0,157.09,146.25,161.93,152.69,1057.61,1052.32,1046.5,1037.62,57.19,95.31,977.2,21.62,21.05,0.0,0.0,-0.0,0.0,16.8,2.15,0.47,0.0,28.0,28.0,-3.89,3.9
4.0,157.8,146.91,162.59,153.54,1058.21,1052.36,1048.79,1038.3,57.08,95.29,971.2,21.62,21.05,0.0,0.0,-0.01,-0.01,16.8,2.12,0.47,0.0,28.0,28.0,-0.28,3.9
4.0,158.53,147.69,163.38,154.35,1056.08,1053.09,1049.98,1039.47,57.25,95.28,980.5,21.62,21.05,0.0,0.0,-0.01,-0.01,16.8,2.14,0.48,0.0,28.0,28.0,-14.66,0.0
2.0,159.13,148.25,163.93,155.04,1054.25,1053.3,1049.38,1038.49,57.34,95.26,987.7,21.62,21.05,0.0,0.0,0.0,-0.0,16.8,2.19,0.48,0.0,28.0,28.0,-15.96,7.9
1.0,159.9,149.03,164.71,155.84,1055.45,1053.52,1048.52,1036.68,57.33,95.24,987.2,21.62,21.05,0.0,0.0,-0.01,0.0,16.8,2.19,0.51,0.0,28.0,28.0,8.72,0.0
0.0,160.57,149.67,165.38,156.57,1056.52,1052.81,1048.15,1035.64,57.27,95.22,984.8,21.62,21.05,0.0,0.0,-0.01,-0.0,16.8,2.16,0.49,0.0,28.0,28.1,0.76,3.9
